,channelId,title,publishedAt,viewCount,subscriberCount,videoCount
0,UCYpRDnhk5H8h16jpS84uqsA,Le Monde,2006-03-17T14:41:41Z,310639457,1320000,2055
1,UCSKdvgqdnj72_SLggp7BDTg,Brut,2016-10-28T12:43:30Z,537272835,1400000,6028
2,UCewhc0fvja891XkpIPGRMxQ,LCI,2015-06-17T14:23:07Z,164788340,507000,3416
3,UC1ObaaFz4XHVPN2T5IFsU4w,L'Obs,2006-10-02T20:49:21Z,169434054,268000,6836
4,UCfHn_8-ehdem86fEvlFg-Gw,Le Parisien,2014-10-06T16:42:09Z,844038565,808000,9011
5,UCyIV8rkza5Uk_sJIhqilBvQ,L'ÉQUIPE,2013-02-28T18:07:07Z,132364578,504000,9856
6,UCpi-4daExRSchtsJzO06rwA,Quotidien,2016-09-07T09:05:05Z,119647060,478000,273
7,UCAcAnMF0OrCtUep3Y4M-ZPw,HugoDécrypte - Actus du jour,2015-11-19T19:48:59Z,265596633,1580000,967
8,UCvrNoLkkDgcFrLV2oX8mbEg,TVMag,2006-07-17T18:16:05Z,6861437,34000,399
9,UCCDz_XYeKWd0OIyjp95dqyQ,Figaro Live,2006-05-21T15:43:59Z,246857172,435000,10553
10,UCfsTAnYne5szhoMc381A5wg,L'Opinion,2013-04-09T07:01:53Z,4154121,14700,4192
11,UCar0yo-PpeMk51m116826pQ,Journal l'Humanité,2011-01-13T10:27:28Z,12413628,51700,2443
12,UCCCPCZNChQdGa9EkATeye4g,FRANCE 24,2006-03-04T13:45:05Z,1841726039,4770000,93707
13,UCXwDLMDV86ldKoFVc_g8P0g,BFMTV,2006-09-18T23:23:40Z,832146593,1270000,63637
14,UC9x4Iyu-D257P0P-VDRwSzw,Libération,2008-05-21T15:14:08Z,767529,3000,80
15,UCIMGfEAERXjmWwQeg15BFsg,Europe 1,2006-03-19T03:16:06Z,634052116,1030000,107134
16,UC9GGzAhhvhJO1hL10-BcgNA,LeHuffPost,2015-10-01T12:27:42Z,953563674,1030000,15448
17,UCO6K_kkdP-lnSCiO3tPx7WA,franceinfo,2006-09-18T10:29:57Z,71594338,401000,11638
18,UCrpsdF7UreiF-2r5Jp0YpRg,Ouest-France,2010-04-02T13:16:02Z,25794497,37800,15300
19,UCUo1RqYV8tGjV38sQ8S5p9A,HugoDécrypte,2021-04-23T12:54:10.592875Z,24691150,634000,44
20,UCwI-JbGNsojunnHbFAc0M4Q,ARTE,2010-11-18T12:54:57Z,203733701,2400000,1474
21,UCtJk8WNzhAu37r-QBmY7pRA,La Croix,2013-01-03T14:05:36Z,10499976,26900,1376
22,UChZWs6PJY0hND384d2_RrhQ,Les Echos,2012-12-04T14:28:39Z,35801155,141000,5442
23,UCD25QI36ly-8hWm9OPOz7aw,20Minutes FR,2006-10-17T14:26:16Z,29140087,55700,5992
24,UCU0DxnpHTAIO5WZ1Iq7GDqA,La Tribune,2017-05-08T12:20:21Z,591766,689,808
25,UCnIWNujSpiiuH29-TBCz9aw,VA Plus,2010-05-10T06:52:09Z,79147371,311000,725
26,UCXKJrYczY2_fJEZgFPGY0HQ,CNEWS,2006-03-30T14:18:33Z,215199608,451000,24126
